,GeneA,GeneB,IdMethodA,IdMethodB,Negative,PubMedId,UTCDate
540,SRPK1,RPS6KB2,predetermined participant,predetermined participant,False,23602568,1367208000.0
541,ARHGAP26,SRPK1,predetermined participant,predetermined participant,False,23602568,1367208000.0
542,SRPK3,SRPK1,predetermined participant,predetermined participant,False,23602568,1367208000.0
543,AURKC,SRPK1,predetermined participant,predetermined participant,False,23602568,1367208000.0
544,LYN,SRC,western blot,western blot,False,22581261,1338264000.0
545,PRKCG,PICK1,nucleotide sequence identification,nucleotide sequence identification,False,16713569,1148270400.0
546,PICK1,PRKCG,nucleotide sequence identification,nucleotide sequence identification,False,16713569,1148270400.0
547,CHEK1,TP53,nucleotide sequence identification,nucleotide sequence identification,False,16511572,1143003600.0
548,PAK1,GIT1,polyclonal antibody western blot,polyclonal antibody western blot,False,16628223,1146715200.0
549,GIT1,GIT2,polyclonal antibody western blot,polyclonal antibody western blot,False,16628223,1146715200.0
550,PAK1,GIT2,polyclonal antibody western blot,polyclonal antibody western blot,False,16628223,1146715200.0
551,ABL1,PRKCD,western blot,western blot,False,16631755,1147147200.0
552,CHUK,MAP3K14,monoclonal antibody western blot,western blot,False,16498412,1141794000.0
553,SKP2,SKP1,western blot,western blot,False,12609982,1051502400.0
554,CKS1B,SKP2,predetermined participant,predetermined participant,False,12813041,1061179200.0
555,SKP2,CKS1B,predetermined participant,predetermined participant,False,12813041,1061179200.0
556,SKP1,SKP2,predetermined participant,predetermined participant,False,12813041,1061179200.0
557,SKP1,CKS1B,predetermined participant,predetermined participant,False,12813041,1061179200.0
558,CKS1B,SKP2,western blot,western blot,False,12813041,1061179200.0
559,PLK1,PLK1,nucleotide sequence identification,nucleotide sequence identification,False,14532005,1065585600.0
560,CALM1,MAP3K14,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
561,RIPK1,RIPK1,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
562,RIPK2,RIPK2,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
563,CALM1,RIPK2,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
564,CALM1,RIPK3,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
565,RIPK3,RIPK3,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
566,DAPK1,RIPK3,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
567,PRKDC,RIPK3,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
568,TAB1,TAB1,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
569,CALM1,TAB1,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
570,IRAK1,TAB1,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
571,MAP3K7,TAB1,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
572,CALM1,TAB2,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
573,PFKL,TAB2,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
574,TAB2,TAB2,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
575,MAP3K7,TAB2,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
576,CALM1,MAP3K7,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
577,TAB2,MAP3K7,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
578,MAP3K7,MAP3K7,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
579,CALM1,TBK1,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
580,TBK1,TBK1,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
581,CDK19,CDK8,peptide massfingerprinting,peptide massfingerprinting,False,15175163,1086235200.0
582,NEK1,NEK1,nucleotide sequence identification,nucleotide sequence identification,False,14690447,1072155600.0
583,MAP3K8,MAP3K8,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
584,CALM1,MAP3K8,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
585,PFKL,MAP3K8,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
586,IKBKG,CHUK,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
587,CHUK,CHUK,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
588,CALM1,CHUK,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
589,IKBKG,IKBKB,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
590,CHUK,IKBKB,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
591,IKBKB,IKBKB,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
592,CALM1,IKBKB,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
593,IKBKE,IKBKE,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
594,CALM1,IKBKE,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
595,IKBKE,PFKL,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
596,IKBKG,IKBKG,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
597,RACK1,IKBKG,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
598,CALM1,IKBKG,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
599,IKBKG,IKBKG,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
600,CAMK2D,IKBKG,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
601,GCN1,IKBKG,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
602,PRKDC,IKBKG,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
603,MAP3K1,MAP3K1,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
604,CALM1,MAP3K1,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
605,MYLK2,MAP3K1,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
606,IKBKG,MAP3K3,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
607,MAP3K3,CHUK,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
608,IKBKB,MAP3K3,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
609,CALM1,MAP3K3,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
610,PFKL,MAP3K3,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
611,ALK,MAP3K3,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
612,MAP3K2,MAP3K3,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
613,MAP3K3,MAP3K3,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
614,LYN,MAP3K3,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
615,PRKDC,MAP3K3,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
616,DLG1,MAP3K3,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
617,MAP3K3,AKAP8L,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
618,MYLK2,MAP3K3,peptide massfingerprinting,peptide massfingerprinting,False,14743216,1075698000.0
619,IRAK1,IRAK1,western blot,western blot,False,10383454,933048000.0
620,IRAK2,IRAK2,western blot,western blot,False,10383454,933048000.0
621,IRAK3,IRAK3,western blot,western blot,False,10383454,933048000.0
622,IRAK2,IRAK1,western blot,western blot,False,10383454,933048000.0
623,IRAK3,IRAK1,western blot,western blot,False,10383454,933048000.0
624,IRAK1,IRAK2,western blot,western blot,False,10383454,933048000.0
625,IRAK3,IRAK2,western blot,western blot,False,10383454,933048000.0
626,IRAK1,IRAK3,western blot,western blot,False,10383454,933048000.0
627,IRAK2,IRAK3,western blot,western blot,False,10383454,933048000.0
628,MAP3K1,MAP2K4,western blot,western blot,False,9808624,913352400.0
629,MAP2K4,MAP3K1,predetermined participant,predetermined participant,False,9808624,913352400.0
630,MAP2K4,MAP3K1,western blot,western blot,False,9808624,913352400.0
631,MAP3K4,MAP2K6,predetermined participant,predetermined participant,False,12052864,1023422400.0
632,MAP3K4,MAP3K4,predetermined participant,predetermined participant,False,12052864,1023422400.0
633,IRAK1,IRAK4,nucleotide sequence identification,nucleotide sequence identification,False,12860405,1058241600.0
634,AURKA,AURKAIP1,polyclonal antibody western blot,polyclonal antibody western blot,False,12244051,1037595600.0
635,AURKA,AURKAIP1,western blot,western blot,False,12244051,1037595600.0
636,MAPK8,TP53,western blot,western blot,False,15580310,1106197200.0
637,PIK3R2,ERBB2,peptide massfingerprinting,peptide synthesis,False,16729043,1148616000.0
638,ERBB3,PIK3R2,peptide synthesis,peptide massfingerprinting,False,16729043,1148616000.0
639,PIK3R2,ERBB3,peptide massfingerprinting,peptide synthesis,False,16729043,1148616000.0
640,CSK,EGFR,peptide massfingerprinting,peptide synthesis,False,16729043,1148616000.0
641,PIK3R2,ERBB3,peptide massfingerprinting,peptide synthesis,False,16729043,1148616000.0
642,ERBB3,CSK,peptide synthesis,peptide massfingerprinting,False,16729043,1148616000.0
643,ERBB3,PIK3R2,peptide synthesis,peptide massfingerprinting,False,16729043,1148616000.0
644,ERBB3,PIK3R2,peptide synthesis,peptide massfingerprinting,False,16729043,1148616000.0
645,PIK3R2,ERBB4,peptide massfingerprinting,peptide synthesis,False,16729043,1148616000.0
646,PIK3R2,ERBB3,peptide massfingerprinting,peptide synthesis,False,16729043,1148616000.0
647,ZAP70,LCK,monoclonal antibody western blot,nucleotide sequence identification,False,10556826,945925200.0
648,TP53,HIPK2,nucleotide sequence identification,nucleotide sequence identification,False,15896780,1118030400.0
649,PBK,ARAF,predetermined participant,predetermined participant,False,12620389,1046926800.0
650,PKM,RAF1,nucleotide sequence identification,nucleotide sequence identification,False,12620389,1046926800.0
651,PKM,RAF1,predetermined participant,predetermined participant,False,12620389,1046926800.0
652,PBK,ARAF,nucleotide sequence identification,nucleotide sequence identification,False,12620389,1046926800.0
653,PKM,RAF1,predetermined participant,predetermined participant,False,12620389,1046926800.0
654,PBK,RAF1,predetermined participant,predetermined participant,False,12620389,1046926800.0
655,PKM,ARAF,predetermined participant,predetermined participant,False,12620389,1046926800.0
656,PBK,ARAF,predetermined participant,predetermined participant,False,12620389,1046926800.0
657,MAP3K7,NLK,western blot,western blot,False,15764709,1111554000.0
658,NLK,MAP3K7,western blot,western blot,False,15764709,1111554000.0
659,CHEK2,TP53,nucleotide sequence identification,nucleotide sequence identification,False,15862297,1115006400.0
660,MAPK14,PKN1,monoclonal antibody western blot,monoclonal antibody western blot,False,12761180,1053576000.0
661,MAPK12,PKN1,monoclonal antibody western blot,monoclonal antibody western blot,False,12761180,1053576000.0
662,PKN1,MAPK12,monoclonal antibody western blot,monoclonal antibody western blot,False,12761180,1053576000.0
663,PKN1,MAP2K3,monoclonal antibody western blot,monoclonal antibody western blot,False,12761180,1053576000.0
664,MAP2K6,PKN1,monoclonal antibody western blot,monoclonal antibody western blot,False,12761180,1053576000.0
665,CSNK2A1,CSNK2B,predetermined participant,predetermined participant,False,12769847,1054094400.0
666,CSNK2A1,CSNK2B,predetermined participant,predetermined participant,False,12769847,1054094400.0
667,STK26,STK26,predetermined participant,predetermined participant,False,11741893,1014008400.0
668,STK26,STK26,predetermined participant,predetermined participant,False,11741893,1014008400.0
669,STK26,STK26,predetermined participant,predetermined participant,False,11741893,1014008400.0
670,STK26,STK26,predetermined participant,predetermined participant,False,11741893,1014008400.0
671,STK25,STK25,peptide massfingerprinting,peptide massfingerprinting,False,15037601,1080622800.0
672,LATS1,CDK1,western blot,western blot,False,9988268,919918800.0
673,CDK1,LATS1,predetermined participant,predetermined participant,False,9988268,919918800.0
674,LATS1,LIMK1,western blot,western blot,False,15220930,1088740800.0
675,LIMK1,LATS1,western blot,western blot,False,15220930,1088740800.0
676,LATS1,LIMK1,western blot,western blot,False,15220930,1088740800.0
677,LIMK1,LATS1,predetermined participant,predetermined participant,False,15220930,1088740800.0
678,LATS1,LIMK1,immunostaining,immunostaining,False,15220930,1088740800.0
679,EGFR,ADRBK1,nucleotide sequence identification,monoclonal antibody western blot,False,15620700,1104210000.0
680,ADRBK1,EGFR,monoclonal antibody western blot,nucleotide sequence identification,False,15620700,1104210000.0
681,EGFR,ADRBK1,experimental participant identification,experimental participant identification,False,15620700,1104210000.0
682,PFKL,PFKL,polyclonal antibody western blot,polyclonal antibody western blot,False,6444721,327902400.0
683,PFKL,PFKM,polyclonal antibody western blot,polyclonal antibody western blot,False,6444721,327902400.0
684,PFKL,PFKM,polyclonal antibody western blot,polyclonal antibody western blot,False,6444721,327902400.0
685,PFKM,PFKL,polyclonal antibody western blot,polyclonal antibody western blot,False,6444721,327902400.0
686,PFKM,PFKM,polyclonal antibody western blot,polyclonal antibody western blot,False,6444721,327902400.0
687,PFKL,PFKL,polyclonal antibody western blot,polyclonal antibody western blot,False,6444721,327902400.0
688,PFKL,PFKM,polyclonal antibody western blot,polyclonal antibody western blot,False,6444721,327902400.0
689,PFKM,PFKL,polyclonal antibody western blot,polyclonal antibody western blot,False,6444721,327902400.0
690,PFKM,PFKM,polyclonal antibody western blot,polyclonal antibody western blot,False,6444721,327902400.0
691,MYT1,CDK1,western blot,western blot,False,9001210,856242000.0
692,PRKACA,AKIP1,nucleotide sequence identification,nucleotide sequence identification,False,15630084,1105506000.0
693,PRKACA,AKIP1,western blot,western blot,False,15630084,1105506000.0
694,PRKACA,AKIP1,predetermined participant,predetermined participant,False,15630084,1105506000.0
695,PRKACA,AKIP1,predetermined participant,predetermined participant,False,15630084,1105506000.0
696,MAP3K5,MAP3K5,western blot,western blot,False,9743501,907905600.0
697,STRADA,STK11,nucleotide sequence identification,nucleotide sequence identification,False,15733851,1109566800.0
698,STK11,STRADA,nucleotide sequence identification,nucleotide sequence identification,False,15733851,1109566800.0
699,STK11,SNRK,nucleotide sequence identification,nucleotide sequence identification,False,15733851,1109566800.0
700,CDKN1C,CDK4,western blot,western blot,False,9106657,862804800.0
701,CDK4,CDKN1B,western blot,western blot,False,9106657,862804800.0
702,CDK4,CDKN1A,western blot,western blot,False,9106657,862804800.0
703,CDK4,CDKN1A,western blot,western blot,False,9106657,862804800.0
704,CDK2,CDKN1A,western blot,western blot,False,8756624,843710400.0
705,CDKN1A,CDK2,predetermined participant,predetermined participant,False,8756624,843710400.0
706,CDKN1A,CDK4,predetermined participant,predetermined participant,False,8756624,843710400.0
707,CDKN1A,CDK2,predetermined participant,predetermined participant,False,8756624,843710400.0
708,CDKN1A,CDK2,predetermined participant,predetermined participant,False,8756624,843710400.0
709,SYK,LCK,nucleotide sequence identification,nucleotide sequence identification,False,15536084,1105419600.0
710,PIK3R1,SYK,nucleotide sequence identification,nucleotide sequence identification,False,15536084,1105419600.0
711,FGR,SYK,nucleotide sequence identification,nucleotide sequence identification,False,15536084,1105419600.0
712,SYK,PIK3R1,nucleotide sequence identification,nucleotide sequence identification,False,15536084,1105419600.0
713,PIK3R2,SYK,nucleotide sequence identification,nucleotide sequence identification,False,15536084,1105419600.0
714,PIK3R1,SYK,western blot,nucleotide sequence identification,False,15536084,1105419600.0
715,PIK3R1,SYK,nucleotide sequence identification,nucleotide sequence identification,False,15536084,1105419600.0
716,PIK3R1,SYK,monoclonal antibody western blot,monoclonal antibody western blot,False,15536084,1105419600.0
717,MAPK3,DAPK1,nucleotide sequence identification,nucleotide sequence identification,False,15616583,1106715600.0
718,MAPK3,DAPK1,predetermined participant,predetermined participant,False,15616583,1106715600.0
719,MAPK3,DAPK1,western blot,western blot,False,15616583,1106715600.0
720,DAPK1,MAPK3,western blot,western blot,False,15616583,1106715600.0
721,CHUK,IKBKB,western blot,western blot,False,9751060,908424000.0
722,CHUK,IKBKG,western blot,western blot,False,9751060,908424000.0
723,CHUK,IKBKG,western blot,western blot,False,9751060,908424000.0
724,IKBKG,IKBKB,western blot,western blot,False,9751060,908424000.0
725,CHUK,IKBKG,western blot,western blot,False,9751060,908424000.0
726,IKBKG,CHUK,western blot,western blot,False,9751060,908424000.0
727,IKBKG,CHUK,western blot,western blot,False,9751060,908424000.0
728,IKBKB,IKBKG,western blot,western blot,False,9751060,908424000.0
729,CDK11B,PAK1,nucleotide sequence identification,nucleotide sequence identification,False,12624090,1053921600.0
730,CDK11B,PAK1,predetermined participant,predetermined participant,False,12624090,1053921600.0
731,CDK11B,PAK1,monoclonal antibody western blot,monoclonal antibody western blot,False,12624090,1053921600.0
732,MAP3K11,MAP4K2,western blot,western blot,False,11784851,1010638800.0
733,MAP4K2,MAP3K1,polyclonal antibody western blot,polyclonal antibody western blot,False,11784851,1010638800.0
734,MAP3K1,MAP4K2,polyclonal antibody western blot,polyclonal antibody western blot,False,11784851,1010638800.0
735,RPS6KA4,MAPK14,partial dna sequence identification by hybridization,partial dna sequence identification by hybridization,False,9792677,913266000.0
736,RPS6KA4,MAPK14,western blot,western blot,False,9792677,913266000.0
737,RPS6KA4,MAPK3,western blot,western blot,False,9792677,913266000.0
738,SKP2,SKP1,predetermined participant,predetermined participant,False,11099048,975560400.0
739,SKP1,SKP2,predetermined participant,predetermined participant,False,11099048,975560400.0
740,SKP2,SKP1,predetermined participant,predetermined participant,False,11099048,975560400.0
741,DDR2,SRC,predetermined participant,predetermined participant,False,11884411,1021867200.0
742,PRKAR1A,AKAP1,nucleotide sequence identification,nucleotide sequence identification,False,9065479,861336000.0
743,CDKN1B,AKT1,predetermined participant,predetermined participant,False,12042314,1028520000.0
744,AKT1,CDKN1B,predetermined participant,predetermined participant,False,12042314,1028520000.0
745,LYN,PTK2,predetermined participant,predetermined participant,False,11389892,991800000.0
746,MAP3K7,MAP3K14,western blot,western blot,False,10094049,923457600.0
747,CHUK,MAP3K14,western blot,western blot,False,10094049,923457600.0
748,CHUK,MAP3K7,western blot,western blot,False,10094049,923457600.0
749,MAP3K7,IKBKAP,western blot,western blot,False,10094049,923457600.0
750,CDK3,CDKN3,nucleotide sequence identification,nucleotide sequence identification,False,8242750,757141200.0
751,CDKN3,CDK2,nucleotide sequence identification,nucleotide sequence identification,False,8242750,757141200.0
752,CDK1,CDKN3,nucleotide sequence identification,nucleotide sequence identification,False,8242750,757141200.0
753,CDK2,CDKN3,predetermined participant,predetermined participant,False,8242750,757141200.0
754,IGF1R,CSK,nucleotide sequence identification,nucleotide sequence identification,False,10026153,921733200.0
755,CSK,IGF1R,western blot,western blot,False,10026153,921733200.0
756,CSK,IGF1R,predetermined participant,predetermined participant,False,10026153,921733200.0
757,CSK,IGF1R,predetermined participant,predetermined participant,False,10026153,921733200.0
758,IGF1R,CSK,predetermined participant,predetermined participant,False,10026153,921733200.0
759,CSK,IGF1R,predetermined participant,predetermined participant,False,10026153,921733200.0
760,CSK,IGF1R,predetermined participant,predetermined participant,False,10026153,921733200.0
761,IGF1R,CSK,predetermined participant,predetermined participant,False,10026153,921733200.0
762,IKBKG,RIPK2,predetermined participant,predetermined participant,False,10880512,971409600.0
763,RIPK1,IKBKG,predetermined participant,predetermined participant,False,10880512,971409600.0
764,SYK,LCK,predetermined participant,predetermined participant,False,8621719,835156800.0
765,ABL1,WASF1,predetermined participant,predetermined participant,False,10970852,972360000.0
766,ABL1,WASF1,predetermined participant,predetermined participant,False,10970852,972360000.0
767,ABL1,WASF1,predetermined participant,predetermined participant,False,10970852,972360000.0
768,PIK3R1,ARAF,predetermined participant,predetermined participant,False,10967104,978066000.0
769,PIK3R1,ARAF,nucleotide sequence identification,nucleotide sequence identification,False,10967104,978066000.0
770,PIK3R1,ARAF,predetermined participant,predetermined participant,False,10967104,978066000.0
771,PKN3,PLD1,predetermined participant,predetermined participant,False,11259428,990590400.0
772,PKN3,PLD1,predetermined participant,predetermined participant,False,11259428,990590400.0
773,PKN3,PLD1,predetermined participant,predetermined participant,False,11259428,990590400.0
774,BTK,BTK,predetermined participant,predetermined participant,False,11231015,984546000.0
775,SYK,ERBB3,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
776,ERBB3,PIK3R3,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
777,ERBB3,PIK3R3,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
778,PIK3R3,ERBB3,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
779,ERBB3,PIK3R2,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
780,ERBB3,PIK3R1,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
781,PIK3R1,ERBB3,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
782,ERBB3,ABL2,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
783,ERBB3,ABL2,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
784,ERBB4,ABL2,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
785,ABL1,ERBB4,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
786,ERBB2,SYK,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
787,ERBB2,PIK3R3,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
788,PIK3R3,ERBB2,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
789,PIK3R1,ERBB2,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
790,ERBB2,PIK3R2,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
791,JAK1,ERBB2,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
792,ERBB2,SYK,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
793,ERBB2,PIK3R3,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
794,ERBB2,PIK3R2,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
795,ERBB2,PIK3R2,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
796,ERBB2,MAPK8IP1,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
797,MAPK8IP2,ERBB2,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
798,ERBB2,FGR,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
799,ERBB2,ABL2,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
800,PIK3R3,ERBB3,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
801,PIK3R3,ERBB3,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
802,ERBB3,PIK3R3,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
803,PIK3R2,ERBB3,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
804,PIK3R2,ERBB3,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
805,PIK3R1,ERBB3,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
806,PIK3R1,ERBB3,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
807,PIK3R1,ERBB3,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
808,ERBB3,ABL2,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
809,ABL2,EGFR,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
810,SYK,ERBB3,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
811,ERBB3,PIK3R3,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
812,ERBB3,PIK3R3,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
813,PIK3R2,ERBB3,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
814,ERBB3,PIK3R2,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
815,ERBB3,PIK3R1,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
816,PIK3R1,ERBB3,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
817,EGFR,SYK,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
818,EGFR,SYK,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
819,EGFR,PIK3R3,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
820,EGFR,PIK3R3,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
821,PIK3R3,EGFR,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
822,EGFR,PIK3R2,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
823,PIK3R2,EGFR,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
824,PIK3R1,EGFR,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
825,PIK3R1,EGFR,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
826,EGFR,PIK3R1,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
827,MAPK8IP2,EGFR,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
828,EGFR,MAPK8IP1,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
829,JAK2,EGFR,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
830,ABL2,EGFR,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
831,TXK,ERBB2,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
832,SYK,ERBB2,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
833,PIK3R3,ERBB2,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
834,ERBB2,PIK3R2,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
835,PIK3R1,ERBB2,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
836,ERBB2,MAPK8IP2,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
837,ERBB2,MAPK8IP1,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
838,ERBB2,ITK,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
839,ERBB2,DOK1,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
840,BLK,ERBB2,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
841,ERBB2,ABL2,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
842,EGFR,PTK6,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
843,MAPK8IP2,EGFR,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
844,MAPK8IP1,EGFR,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
845,ERBB4,ABL2,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
846,ERBB2,SYK,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
847,ERBB2,PIK3R3,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
848,PIK3R3,ERBB2,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
849,PIK3R3,ERBB2,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
850,PIK3R2,ERBB2,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
851,ERBB2,PIK3R2,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
852,PIK3R1,ERBB2,nucleotide sequence identification,nucleotide sequence identification,False,16273093,1137042000.0
